date,company,role,status,salary_min,salary_max,url,apply_url,careers_page,notes
3/12/2026,True Anomaly,Staff Platform Engineer AI,identified,175000,250000,https://www.adzuna.com/land/ad/5645812438,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5048798007,https://job-boards.greenhouse.io/trueanomalyinc,Denver CO
3/12/2026,True Anomaly,Senior Platform Engineer AI,identified,155000,215000,,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5048599007,https://job-boards.greenhouse.io/trueanomalyinc,Denver CO
3/12/2026,Ibotta,Associate Platform Engineer AI & Automation,identified,133000,133000,,https://ibotta.wd1.myworkdayjobs.com/Ibotta/job/Denver-CO/Platform-Engineer--AI---Automation_R-102176-1/apply,https://ibotta.com/work-with-us/careers/job-postings,Denver CO; hybrid 3 days/wk
3/12/2026,True Anomaly,Senior Platform Engineer AI with Security Clearance,identified,159000,159000,,https://www.clearancejobs.com/jobs/8773121/senior-platform-engineer-ai,https://job-boards.greenhouse.io/trueanomalyinc,Federal Heights CO; TS//SCI preferred
3/14/2026,Teradata,Staff Full Stack Engineer - AI Platform,identified,163512,163512,https://www.adzuna.com/land/ad/5619951624,https://teradata.dejobs.org/denver-co/staff-full-stack-engineer-ai-platform/CAB3F9044A774CD08D6F533176AEADFE/job/,https://careers.teradata.com/jobs,Denver CO; estimated salary; closing soon
3/14/2026,Prologis,Senior Applied AI Engineer,identified,125000,186000,https://www.adzuna.com/details/5630132653,https://builtin.com/company/prologis/jobs,https://prologis.com/careers,Denver CO; agentic workflows; AWS
3/14/2026,Confluent,Director Engineering - Applied AI,identified,225805,225805,https://www.adzuna.com/land/ad/5664396727,https://careers.confluent.io/search/engineering/jobs,https://careers.confluent.io,Denver CO; estimated salary; remote; new listing
3/14/2026,Coinbase,Senior Staff Software Engineer AI Developer Experience,identified,183528,183528,https://www.adzuna.com/land/ad/5659050003,https://www.coinbase.com/careers/positions,https://www.coinbase.com/careers/positions,Denver CO; estimated salary; remote USA
3/14/2026,Teradata,Principal Engineer Agentic AI,identified,143765,143765,https://www.adzuna.com/land/ad/5654530144,https://careers.teradata.com/jobs,https://careers.teradata.com/jobs,Denver CO; estimated salary; agent orchestration
3/14/2026,EY,EY-Parthenon AI Product & Platform Build - Sr Director,identified,256269,256269,https://www.adzuna.com/land/ad/5636998251,https://careers.ey.com/ey/job/New-York-EY-Parthenon-Strategy-and-Execution-Growth-Platforms-AI-Product-&-Platform-Build-Sr-Director-NY-10001-8604/1365485133/,https://www.ey.com/en_us/careers/parthenon,Denver CO; estimated salary; multi-city
3/14/2026,CACI International,AI ML Infrastructure Engineer,identified,164743,164743,https://www.adzuna.com/land/ad/5649222944,https://careers.caci.com/global/en/job/CACIGLOBAL322191EXTERNALENGLOBAL/AI-ML-Infrastructure-Engineer,https://careers.caci.com,Denver CO; estimated salary; requires clearance
3/14/2026,Oracle,Senior Software Developer (ML Infrastructure),identified,178095,178095,https://www.adzuna.com/land/ad/5418516415,https://careers.oracle.com/en/job/324437,https://www.oracle.com/careers/,Denver CO; estimated salary; closing soon
3/14/2026,Coinbase,Senior Staff Software Engineer Data Platform,identified,183951,183951,https://www.adzuna.com/land/ad/5665950521,https://www.coinbase.com/careers/positions,https://www.coinbase.com/careers/positions,Denver CO; estimated salary; new listing
